Name	z	Flux(erg/s/cm2)	Lx(erg/s)
A2110	0.098	9.73e-12	2.26e+044
A3528N	0.0542	9.71e-12	6.7e+043
A1668	0.0643	9.6e-12	9.38e+043
A2440	0.0906	9.6e-12	1.9e+044
A2670	0.0765	9.58e-12	1.34e+044
A2811	0.1082	9.58e-12	2.73e+044
A1084	0.1342	9.57e-12	4.3e+044
A1991	0.0586	9.56e-12	7.7e+043
A0194	0.018	9.55e-12	6.98e+042
A1800	0.0748	9.54e-12	1.27e+044
S0780	0.2357	9.44e-12	1.4e+045
S0810	0.0726	9.42e-12	1.18e+044
A1285	0.1068	9.39e-12	2.61e+044
S0753	0.0132	9.21e-12	3.6e+042
A0007	0.1073	9.17e-12	2.57e+044
ZwCl8338	0.0501	9.16e-12	5.34e+043
A3866	0.1544	9.16e-12	5.53e+044
RXCJ2104.9-5149	0.0491	9.11e-12	5.17e+043
A2351	0.0897	9.04e-12	1.79e+044
A2572	0.0403	8.97e-12	3.35e+043
A3809	0.062	8.96e-12	8.11e+043
A0076	0.0395	8.94e-12	3.2e+043
A2261	0.224	8.93e-12	1.19e+045
A0689	0.2793	8.92e-12	1.9e+045
A2009	0.153	8.9e-12	5.27e+044
RXCJ1304.2-3030	0.0117	8.86e-12	2.73e+042
A2055	0.1021	8.85e-12	2.24e+044
S0041	0.0491	8.84e-12	4.95e+043
A2667	0.2264	8.81e-12	1.2e+045
MS2215	0.0901	8.8e-12	1.73e+044
A2033	0.0817	8.79e-12	1.41e+044
A0957	0.0445	8.79e-12	4.02e+043
A3378	0.1392	8.75e-12	4.24e+044
NGC1650	0.036	8.58e-12	2.54e+043
A2428	0.0825	8.57e-12	1.44e+044
A3733	0.0382	8.49e-12	2.83e+043
1eS0657	0.2965	8.42e-12	2.04e+045
RXCJ1926.9-5342	0.057	8.4e-12	6.34e+043
A3694	0.0936	8.35e-12	1.8e+044
A3998	0.0894	8.34e-12	1.63e+044
A3541	0.1288	8.32e-12	3.57e+044
RBS1847	0.0951	8.27e-12	1.86e+044
A0901	0.1634	8.27e-12	5.63e+044
A3126	0.0853	8.25e-12	1.47e+044
A1437	0.1339	8.21e-12	3.67e+044
A0189	0.0181	8.21e-12	6.18e+042
A3104	0.0718	8.2e-12	1.03e+044
A2556	0.0871	8.18e-12	1.51e+044
A1520	0.0688	8.13e-12	9.35e+043
NGC7556	0.0267	8.12e-12	1.32e+043
A0514	0.072	8.1e-12	1e+044
NGC4325	0.0258	8.08e-12	1.23e+043
A1361	0.1167	8.04e-12	2.79e+044
S0721	0.0497	8e-12	4.56e+043
A0545	0.154	7.99e-12	5.01e+044
A2409	0.147	7.96e-12	4.53e+044
A2717	0.049	7.94e-12	4.42e+043
A3223	0.06	7.85e-12	6.65e+043
A3825	0.075	7.82e-12	1.05e+044
RXCJ0340.6-0239	0.0352	7.82e-12	2.21e+043
A0077	0.0712	7.81e-12	9.5e+043
A1068	0.1372	7.79e-12	3.66e+044
HCG62	0.0146	7.78e-12	3.72e+042
RXCJ0034.6-0208	0.0812	7.76e-12	1.25e+044
A3574e	0.016	7.73e-12	4.45e+042
RXCJ0137.2-0912	0.0409	7.72e-12	2.96e+043
A2566	0.0822	7.67e-12	1.21e+044
A1033	0.1259	7.65e-12	2.91e+044
A2384(A)	0.0943	7.56e-12	1.66e+044
RXJ0352.9+1941	0.1085	7.54e-12	2.22e+044
A0586	0.171	7.5e-12	5.62e+044
NGC6107	0.0315	7.46e-12	1.68e+043
A0763	0.0851	7.45e-12	1.31e+044
A1205	0.078	7.43e-12	1.09e+044
A3651	0.06	7.43e-12	6.26e+043
A0115	0.1971	7.39e-12	7.49e+044
A0151N	0.0533	7.39e-12	4.91e+043
A3364	0.1483	7.36e-12	4.32e+044
RXCJ0631.3-5610	0.054	7.34e-12	4.96e+043
A1809	0.0788	7.31e-12	1.04e+044
A3301	0.0536	7.29e-12	4.87e+043
Zw1021.0+0426	0.285	7.26e-12	1.81e+045
S0805	0.0146	7.22e-12	3.46e+042
A0990	0.144	7.22e-12	3.88e+044
S0112	0.0661	7.22e-12	7.35e+043
NGC1132	0.0235	7.19e-12	9.1e+042
RXCJ0736.4+3925	0.1177	7.16e-12	2.52e+044
A0671	0.0503	7.13e-12	4.13e+043
A0907	0.1669	7.12e-12	5.3e+044
CID36	0.039	7.12e-12	2.49e+043
A0520	0.203	7.1e-12	8.31e+044
A1132	0.1369	7.08e-12	3.5e+044
S1063	0.3475	7.04e-12	2.72e+045
A2175	0.0972	7.03e-12	1.63e+044
A3164	0.057	7.02e-12	5.38e+043
AWM5	0.0337	7e-12	1.82e+043
S0301	0.023	6.99e-12	8.48e+042
A0655	0.1267	6.95e-12	2.77e+044
A0646	0.1303	6.94e-12	3e+044
A1190	0.0794	6.9e-12	1.06e+044
A1589	0.073	6.89e-12	8.75e+043
S0555	0.0442	6.88e-12	3.11e+043
S0792	0.0737	6.86e-12	8.93e+043
A2377	0.0808	6.84e-12	1.09e+044
